"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX19477335","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868677","","104.52","1","2636260","337441280","RBL_001688","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477334","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868678","","301.71","1","7600669","972885632","RBLd_001678","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477333","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868676","","182.66","1","4631760","592865280","RBL_001678","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477332","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868674","","63.96","1","1609879","206064512","RBL_001586","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477331","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868675","","76.74","1","1944694","248920832","RBL_001584","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477330","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868673","","174.39","1","4367774","559075072","MNB_04359","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477329","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868672","","79.42","1","1978113","253198464","RBL_001581","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477328","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868671","","75.86","1","1904373","243759744","RBLd_001580","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477327","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868670","","60.88","1","1511026","193411328","RBL_001580","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477326","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868669","","128.01","1","3226392","412978176","RBL_001579","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477325","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868668","","83.2","1","2093866","268014848","RBL_001575","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477324","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868667","","320.8","1","8241989","1054974592","RBL_001568","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477323","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868666","","115.4","1","2860909","366196352","RBL_001565","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477322","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868664","","61.19","1","1530101","195852928","RBL_001553","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477321","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868665","","895.21","1","23503490","3008446720","RBL_001545","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477320","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868663","","284.06","1","7328390","938033920","RBL_001539","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477319","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868662","","135.93","1","3345306","428199168","MNBd_04358","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477318","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868661","","107.67","1","2738858","350573824","RBL_001538","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477317","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868659","","304.46","1","7882735","1008990080","RBL_001521","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477316","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868660","","177.69","1","4437743","568031104","RBL_001519","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477315","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868658","","808.59","1","20998659","2687828352","RBL_001513","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477314","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868657","","686.38","1","17777449","2275513472","RBL_001503","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477313","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868656","","110.55","1","2747661","351700608","RBL_001500","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477312","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868655","","1176.18","1","30659534","3924420352","RBL_001492","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477311","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868654","","277.96","1","7065538","904388864","RBL_001489","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477310","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868652","","121.42","1","3049007","390272896","RBL_001473","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477309","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868653","","157.02","1","3927321","502697088","RBL_000164","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477308","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868651","","201.65","1","5081046","650373888","MNB_04358","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477307","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868650","","147.66","1","3697037","473220736","QBC_9473","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477306","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868649","","65.28","1","1608941","205944448","QBC_9313","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477305","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868647","","94.36","1","2373295","303781760","QBC_8917","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477304","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868648","","74.83","1","1869545","239301760","QBC_8668","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477303","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868646","","54.82","1","1369006","175232768","QBC_8605","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477302","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868644","","173.45","1","4366961","558971008","QBC_8370","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477301","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868645","","142.08","1","3586032","459012096","QBC_8284","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477300","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868642","","65.71","1","1629850","208620800","QBC_4683","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477299","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868643","","112.33","1","2699369","345519232","QBC_4564","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477298","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868640","","143.6","1","3604210","461338880","QBC_3672","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477297","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868641","","136.7","1","3428746","438879488","MNB_04317","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477296","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868639","","206.1","1","5166868","661359104","QBC_2610","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477295","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868637","","66.8","1","1676174","214550272","QBC_2483","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477294","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868636","","178.14","1","4479700","573401600","QBCd_15684","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477293","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868638","","206.26","1","5156019","659970432","QBC_15684","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477292","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868633","","223.53","1","5651633","723409024","QBC_14988","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477291","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868635","","70.48","1","1757931","225015168","QBC_14814","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477290","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868634","","118.76","1","2958005","378624640","QBC_14710","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477289","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868632","","70.7","1","1755887","224753536","QBC_14695","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477288","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868631","","94.25","1","2352934","301175552","QBC_14643","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477287","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868630","","214.82","1","5446796","697189888","QBC_14562","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477286","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868629","","36.84","1","922071","118025088","MNB_04316","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477285","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868628","","160.56","1","4032529","516163712","QBC_14557","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477284","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868627","","179.88","1","4494152","575251456","QBC_14554","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477283","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868626","","196.42","1","4894925","626550400","QBC_14553","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477282","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868625","","142.56","1","3585495","458943360","QBC_10183","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477281","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868624","","78.53","1","1963595","251340160","QBC_10172","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477280","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868622","","168.79","1","4273982","547069696","QBC_10165","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477279","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868623","","69.97","1","1731621","221647488","NSC_93","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477278","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868620","","148.09","1","3695788","473060864","NSC_70","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477277","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868621","","41.08","1","1020303","130598784","NSC_485","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477276","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868619","","32.28","1","793482","101565696","NSC_455","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477275","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868618","","57.05","1","1424108","182285824","MNB_04261","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477274","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868617","","128.43","1","3209131","410768768","NSC_45","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477273","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868616","","112.2","1","2815006","360320768","NSC_373","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477272","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868615","","65.21","1","1614657","206676096","NSC_36","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477271","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868614","","47.15","1","1180345","151084160","NSC_3259","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477270","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868613","","19.64","1","484872","62063616","NSC_2582","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477269","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868612","","73.31","1","1844419","236085632","NSC_2302","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477268","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868610","","52.67","1","1296216","165915648","NSC_229","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477267","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868611","","107.66","1","2692715","344667520","NSC_2246","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477266","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868609","","80.47","1","2018423","258358144","NSC_22","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477265","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868608","","117.82","1","2963023","379266944","NSC_1888","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477264","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868607","","45.17","1","1129281","144547968","MNB_04260","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477263","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868606","","104.72","1","2638650","337747200","NSCd_1852","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477262","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868605","","112.2","1","2795057","357767296","NSC_1852","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477261","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868604","","131.74","1","3316059","424455552","NSC_1","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477260","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868603","","114.44","1","2874518","367938304","MNB_09763","RAD-Seq","GENOMIC","Reduced Representation"
